query,search interest,increase percent,keyword,query_type,window_days,window_start,window_end,logical_name,source_file,ingested_at
python data science handbook,4,Breakout,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
ibm data science professional certificate,3,Breakout,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
kids science experiments at home,2,Breakout,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
rome business school,2,Breakout,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
almalaurea,2,Breakout,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
econometria,2,Breakout,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
data science unina,1,Breakout,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
epj data science,0,3.100%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
best colleges for computer science,0,2.700%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
what is a data pipeline,0,2.000%,data science,rising,60,2025-12-08,2026-02-06 08:47:00,rising_query_data science_60d,searched_with_rising-queries_IT_20251208-0000_20260206-0847.csv,2026-02-06 19:52:47.157933+00:00
