hour,Type,view_count
0,Reels,251.5
0,Videos,272.5
1,Reels,103.0
1,Videos,475.0
2,Reels,344.5
2,Videos,136.0
3,Reels,256.0
3,Videos,137.5
4,Reels,147.0
4,Videos,232.0
5,Reels,245.0
5,Videos,140.0
6,Reels,246.0
6,Videos,221.0
7,Reels,373.5
7,Videos,257.0
8,Reels,355.0
8,Videos,168.0
9,Reels,306.0
9,Videos,239.0
10,Reels,201.0
10,Videos,153.0
11,Reels,190.5
11,Videos,161.0
12,Reels,286.0
12,Videos,232.0
13,Reels,245.0
13,Videos,196.0
14,Reels,233.5
14,Videos,160.0
15,Reels,275.5
15,Videos,260.0
16,Reels,221.5
16,Videos,171.0
17,Reels,345.0
17,Videos,125.0
18,Reels,189.0
18,Videos,154.0
19,Reels,174.5
19,Videos,261.0
20,Reels,678.0
20,Videos,125.0
21,Reels,303.0
21,Videos,163.0
22,Reels,324.5
22,Videos,222.5
23,Reels,156.0
23,Videos,235.0
