hour,Type,view_count
0,Reels,1190.0
0,Videos,272.5
1,Reels,96.0
1,Videos,774.0
2,Reels,360.0
2,Videos,151.5
3,Reels,419.0
3,Videos,91.5
4,Reels,137.0
4,Videos,538.0
5,Reels,945.0
5,Videos,116.0
6,Reels,337.5
6,Videos,190.0
7,Reels,467.0
7,Videos,281.0
8,Reels,492.0
8,Videos,168.0
9,Reels,610.0
9,Videos,127.5
10,Reels,997.0
10,Videos,162.5
11,Reels,238.0
11,Videos,163.0
12,Reels,687.0
12,Videos,267.5
13,Reels,574.0
13,Videos,156.5
14,Reels,441.5
14,Videos,331.0
15,Reels,746.0
15,Videos,582.5
16,Reels,369.0
16,Videos,259.0
17,Reels,1046.0
17,Videos,200.0
18,Reels,430.5
18,Videos,179.5
19,Reels,721.0
19,Videos,391.0
20,Reels,915.0
20,Videos,122.0
21,Reels,1142.0
21,Videos,128.5
22,Reels,618.0
22,Videos,399.0
23,Reels,1711.0
23,Videos,235.0
