"query","search interest","increase percent"
"munich data science institute",28,"Breakout"
"moodle",23,"Breakout"
"bocconi",17,"Breakout"
"unimib",11,"Breakout"
"data science unimib",10,"Breakout"
"python data analysis",7,"Breakout"
"genomic data science",7,"Breakout"
"data science unisa",6,"Breakout"
"data science unina",5,"Breakout"
"data science course online",4,"Breakout"
"towards data science",3,"Breakout"
"almalaurea",3,"Breakout"
"ibm data science professional certificate",2,"Breakout"
"epj data science",2,"Breakout"
"data quality management",2,"Breakout"
"python data science handbook",2,"Breakout"
"kids science experiments at home",2,"Breakout"
"what is a data pipeline",1,"Breakout"
"data governance frameworks",1,"Breakout"
"unipd",48,"650%"
"data science sapienza",64,"600%"
"data science polito",25,"200%"
"data science projects",79,"190%"
"unito",18,"160%"
"sapienza",32,"110%"
"data science bicocca",12,"40%"
"data science unitn",8,"30%"
"data analyst",17,"20%"
"data scientist",15,"20%"
"data science unipd",16,"20%"
"r for data science",10,"10%"
"master data science",100,"9%"
"data science master",99,"5%"
"machine learning",48,"3%"
"coursera",8,"0%"
"phd data science",16,"-7%"
"master in data science",41,"-20%"
"data science cos'è",8,"-30%"
"business data science",48,"-30%"
"data science courses",17,"-50%"
"data science with python",5,"-50%"
"data science and management",17,"-70%"
